rule_row,product_id_1,product_id_2,product_name_1,product_name_2,mode,n_price_points,elasticity_epsilon,intercept_logk,r2_logspace,plot_path
0,DKS-2018-0008-C-AMER-16-BLMW,FDS-CRANCARROT,AMERICANO COLD 16OZ,CARROT & CRANBERRY CAKE,non_strict,14,-2.352024,15.581189,0.504553,ped_output\plots\ped_demandcurve_00_AMERICANO-COLD-16OZ__CARROT-CRANBERRY-CAKE.png
1,FDS-CRANCARROT,DKS-2018-0010-C-BL-16-BLMW,CARROT & CRANBERRY CAKE,BOOK LATTE COLD 16OZ,non_strict,22,-2.582378,17.31068,0.466214,ped_output\plots\ped_demandcurve_01_CARROT-CRANBERRY-CAKE__BOOK-LATTE-COLD-16OZ.png
2,FDS-2017-0002-OTH-NACH2-BLMW,DKS-2018-0011-C-CARCOR-16-BLMW,ELEPHANT NACHOS,CARAMEL CORTO LATTE COLD 16OZ,non_strict,16,-2.522625,18.198222,0.530036,ped_output\plots\ped_demandcurve_02_ELEPHANT-NACHOS__CARAMEL-CORTO-LATTE-COLD-16OZ.png
3,2024smlplates2,DKS-2018-0011-C-CARCOR-16-BLMW,MOJOJOJOS,CARAMEL CORTO LATTE COLD 16OZ,non_strict,13,-1.777645,12.899353,0.285558,ped_output\plots\ped_demandcurve_03_MOJOJOJOS__CARAMEL-CORTO-LATTE-COLD-16OZ.png
4,DKS-2018-0010-C-BL-16-BLMW,FDS-2017-0002-OTH-NACH2-BLMW,BOOK LATTE COLD 16OZ,ELEPHANT NACHOS,non_strict,21,-1.949538,13.808703,0.310732,ped_output\plots\ped_demandcurve_04_BOOK-LATTE-COLD-16OZ__ELEPHANT-NACHOS.png
5,DKS-2018-0010-C-BL-16-BLMW,2024smlplates2,BOOK LATTE COLD 16OZ,MOJOJOJOS,non_strict,15,-3.504424,23.18761,0.44095,ped_output\plots\ped_demandcurve_05_BOOK-LATTE-COLD-16OZ__MOJOJOJOS.png
6,FDS-2017-0002-OTH-NACH2-BLMW,DKS-2018-0008-C-AMER-16-BLMW,ELEPHANT NACHOS,AMERICANO COLD 16OZ,non_strict,12,-2.539344,17.330973,0.34004,ped_output\plots\ped_demandcurve_06_ELEPHANT-NACHOS__AMERICANO-COLD-16OZ.png
7,DKS-2018-0011-C-CARCOR-16-BLMW,FDS-CRANCARROT,CARAMEL CORTO LATTE COLD 16OZ,CARROT & CRANBERRY CAKE,non_strict,14,-1.53824,11.272599,0.132152,ped_output\plots\ped_demandcurve_07_CARAMEL-CORTO-LATTE-COLD-16OZ__CARROT-CRANBERRY-CAKE.png
8,DKS-2018-0010-C-BL-16-BLMW,2024breads,BOOK LATTE COLD 16OZ,THE CKUB,non_strict,21,-1.340557,9.522156,0.154999,ped_output\plots\ped_demandcurve_08_BOOK-LATTE-COLD-16OZ__THE-CKUB.png
9,2024breads,DKS-2018-0008-C-AMER-16-BLMW,THE CKUB,AMERICANO COLD 16OZ,non_strict,8,-0.838865,6.378839,0.128044,ped_output\plots\ped_demandcurve_09_THE-CKUB__AMERICANO-COLD-16OZ.png
10,DKS-2018-0008-C-AMER-16-BLMW,2024FilBfast4,AMERICANO COLD 16OZ,FIL BFAST LONGGANISA,non_strict,6,-2.198769,14.044147,0.342926,ped_output\plots\ped_demandcurve_10_AMERICANO-COLD-16OZ__FIL-BFAST-LONGGANISA.png
11,DKS-2018-0008-C-AMER-16-BLMW,FDS-2017-0011-ADB-HS-BLMW,AMERICANO COLD 16OZ,HUNGARIAN SAUSAGE WITH RICE OR WAFFLES OR FRENCH TOAST,non_strict,6,-1.988748,13.235511,0.21078,ped_output\plots\ped_demandcurve_11_AMERICANO-COLD-16OZ__HUNGARIAN-SAUSAGE-WITH-RICE-OR-WAFFLES-O.png
12,DKS-2018-0011-C-CARCOR-16-BLMW,FDS-CHOCOLATE,CARAMEL CORTO LATTE COLD 16OZ,MOIST CHOCOLATE CAKE,non_strict,12,-2.666143,17.911626,0.331479,ped_output\plots\ped_demandcurve_12_CARAMEL-CORTO-LATTE-COLD-16OZ__MOIST-CHOCOLATE-CAKE.png
13,FDS-CRANCARROT,DKS-2018-0009-C-CAP-16-BLMW,CARROT & CRANBERRY CAKE,CAPPUCINO COLD 16OZ,non_strict,13,-2.641439,17.308217,0.550493,ped_output\plots\ped_demandcurve_13_CARROT-CRANBERRY-CAKE__CAPPUCINO-COLD-16OZ.png
14,FDS-CHOCOLATE,DKS-2018-0008-C-AMER-16-BLMW,MOIST CHOCOLATE CAKE,AMERICANO COLD 16OZ,non_strict,9,-2.284081,14.884056,0.331112,ped_output\plots\ped_demandcurve_14_MOIST-CHOCOLATE-CAKE__AMERICANO-COLD-16OZ.png
